Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
New York,Manhattan,219,42 St,New York,10017,222,Air Conditioning,Marley (219 Main Tower),NC8231,,Tonnage,8/1/05,6/26/17,6/26/17,6/26/17,no,"(40.750414549862526, -73.97318450419614)"
New York,Manhattan,260,11th Avenue,New York,10001,2079,Air Conditioning,Marley,N/A,500,Tonnage,1/1/15,11/4/15,,,no,"(40.751022922, -74.005218905)"
New York,Manhattan,40,East 14th Street,New York,10003,3132,Air Conditioning,Evapco,3560-2,1284,Tonnage,1/1/15,5/24/16,11/3/15,6/1/16,no,"(40.734879408, -73.991353337)"
New York,Manhattan,443,Broadway,New York,10013,3148,Air Conditioning,Baltimore Aircoil Company (BAC),FXV-422,,BTU,1/1/15,8/21/15,8/21/15,,no,"(40.720354304, -74.001252313)"
New York,Manhattan,2,Penn Plz,New York,10001,6095,Air Conditioning,Marley,6B/664,8000,Tonnage,1/1/15,5/18/17,5/18/17,5/18/17,no,"(40.749830187988316, -73.99166787833417)"
Orange,,601,Thayer Rd,West Point,10996,7199,Air Conditioning,EVAPCO,USS 112-212,400,Tonnage,1/1/15,9/27/16,8/9/17,7/10/17,no,"(41.38699125743974, -73.95638027888789)"
New York,Manhattan,6,Metrotech Center,New York,11201,6670,Air Conditioning,Baltimore AirCoil Company (BAC),33568-2 ,,BTU,6/6/15,11/21/16,8/5/15,10/12/16,no,"(40.694036986, -73.986326992)"
New York,Manhattan,90,Park Avenue,New York,10016,9477,Air Conditioning,Marley,223-951,925,Tonnage,1/1/16,5/24/16,,6/1/16,no,"(40.750807284005624, -73.97894711099008)"
New York,Manhattan,2886 third avenue,3 Ave,Bronx,10455,9469,Air Conditioning,Marley,aquatower,60,Tonnage,7/1/17,,,,no,"(40.8167794734589, -73.91628289418598)"
Wayne,,200,Main Street,Macedon,14502,5744,Other,EVAPCO,AT 19-414,315,Tonnage,1/1/20,1/1/17,1/1/20,1/1/20,no,"(43.07009776210503, -77.29137869850355)"
New York,Manhattan,10,Nathan D Perlman Pl,New York,10003,581,Air Conditioning,Marley,NC6112,1000,Tonnage,6/1/24,4/12/15,6/12/17,5/2/17,no,"(40.73285345557119, -73.98361064266736)"
